,Country,views,language_type,views (log)
71,United States of America,11913797,other,7.076050232305628
45,Mexico,2535851,other,6.404123903208534
37,Japan,2352585,other,6.371545508249251
26,Germany,2298836,other,6.361508178528875
70,United Kingdom,1041597,other,6.017700137324542
64,South Korea,434418,other,5.637908811550186
12,Colombia,431775,other,5.635258498680843
53,Peru,416324,other,5.619432490723561
2,Argentina,228210,other,5.358336574018065
10,Canada,183973,other,5.264756450974837
65,Spain,176496,other,5.24673732788521
20,Ecuador,54142,other,4.733542315848035
13,Costa Rica,14858,other,4.1719895827021185
30,Hong Kong,13534,other,4.131458260106525
11,Chile,11782,other,4.0712558776812955
19,Dominican Republic,7922,other,3.8988896559265864
22,Estonia,4124,other,3.6154239528859438
52,Paraguay,2188,other,3.3402457615679317
21,El Salvador,1040,other,3.017450729510536
72,Uruguay,708,other,2.8506462351830666
57,Puerto Rico,596,other,2.775974331129369
29,Guatemala,587,other,2.7693773260761385
60,Seychelles,478,other,2.680335513414563
13,Mexico,2534739,spanish,6.403933418361156
3,Colombia,431775,spanish,5.635258498680843
15,Peru,416324,spanish,5.619432490723561
0,Argentina,227655,spanish,5.357279100866712
21,United States of America,195524,spanish,5.291202294560029
19,Spain,168831,spanish,5.227454765194234
6,Ecuador,54142,spanish,4.733542315848035
4,Costa Rica,14858,spanish,4.1719895827021185
2,Chile,11782,spanish,4.0712558776812955
5,Dominican Republic,7922,spanish,3.8988896559265864
14,Paraguay,2188,spanish,3.3402457615679317
1,Canada,1876,spanish,3.273464272621346
7,El Salvador,1040,spanish,3.017450729510536
18,South Korea,912,spanish,2.960470777534299
8,Estonia,886,spanish,2.9479236198317262
22,Uruguay,708,spanish,2.8506462351830666
20,United Kingdom,666,spanish,2.824125833916549
16,Puerto Rico,596,spanish,2.775974331129369
9,Germany,595,spanish,2.7752462597402365
10,Guatemala,587,spanish,2.7693773260761385
11,Hong Kong,587,spanish,2.7693773260761385
12,Japan,498,spanish,2.6981005456233897
17,Seychelles,478,spanish,2.680335513414563
